date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description
18-05-2017 08:00,None,247,67,2,169,4,4,281.83,0,0,90,Rain,moderate rain
18-05-2017 08:00,None,28,63,3,175,8,8,281.83,0,0,90,Drizzle,light intensity drizzle
18-05-2017 08:00,None,102,51,5,170,2,2,281.83,0,0,90,Mist,mist
18-05-2017 09:00,None,102,51,5,170,7,7,282.27,0,0,90,Rain,light rain
18-05-2017 09:00,None,89,51,5,170,2,2,282.27,0,0,90,Mist,mist
18-05-2017 09:00,None,269,47,1,158,3,3,282.27,0,0,90,Drizzle,light intensity drizzle
18-05-2017 10:00,None,122,47,0,180,8,8,282.46,0,0,90,Rain,light rain
18-05-2017 10:00,None,124,47,0,158,6,6,282.46,0,0,90,Drizzle,light intensity drizzle
18-05-2017 11:00,None,181,45,5,183,1,1,282.95,0,0,90,Rain,light rain
18-05-2017 12:00,None,71,45,5,183,4,4,283.08,0,0,90,Rain,light rain
18-05-2017 13:00,None,138,45,5,183,5,5,283.61,0,0,75,Rain,light rain
18-05-2017 14:00,None,125,57,4,189,1,1,284.09,0,0,90,Clouds,overcast clouds
18-05-2017 15:00,None,117,57,4,189,9,9,284.62,0,0,90,Clouds,overcast clouds
18-05-2017 16:00,None,227,57,4,189,2,2,284.65,0,0,90,Clouds,overcast clouds
18-05-2017 17:00,None,213,65,4,191,2,2,284.88,0,0,90,Clouds,overcast clouds
18-05-2017 18:00,None,154,65,4,191,9,9,284.84,0,0,90,Clouds,overcast clouds
18-05-2017 19:00,None,46,65,4,191,3,3,284.75,0,0,90,Clouds,overcast clouds
18-05-2017 20:00,None,45,68,3,199,9,9,285.01,0,0,90,Clouds,overcast clouds
18-05-2017 21:00,None,111,68,3,199,4,4,283.9,0,0,1,Clear,sky is clear
18-05-2017 22:00,None,140,68,3,199,4,4,281.96,0,0,40,Clouds,scattered clouds
18-05-2017 23:00,None,206,73,4,195,9,9,281.09,0,0,1,Clear,sky is clear
19-05-2017 00:00,None,288,73,4,195,7,7,280.49,0,0,1,Clear,sky is clear
19-05-2017 01:00,None,56,73,4,195,7,7,280.09,0,0,1,Mist,mist
19-05-2017 02:00,None,223,64,4,207,9,9,279.62,0,0,1,Clear,sky is clear
19-05-2017 03:00,None,43,64,4,207,3,3,279.75,0,0,1,Clear,sky is clear
19-05-2017 04:00,None,227,64,4,207,4,4,279.88,0,0,1,Clear,sky is clear
19-05-2017 05:00,None,168,61,5,222,9,9,279.82,0,0,1,Clear,sky is clear
19-05-2017 06:00,None,44,61,5,222,7,7,279.35,0,0,1,Clear,sky is clear
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
